2024-07-20 21:48:04,151 INFO    StreamThr :10618 [internal.py:wandb_internal():85] W&B internal server running at pid: 10618, started at: 2024-07-20 21:48:04.151053
2024-07-20 21:48:04,154 DEBUG   HandlerThread:10618 [handler.py:handle_request():158] handle_request: status
2024-07-20 21:48:04,155 INFO    WriterThread:10618 [datastore.py:open_for_write():87] open: /home/tzikos/Desktop/KULeuvenThesis/wandb/run-20240720_214804-w9mpsxvm/run-w9mpsxvm.wandb
2024-07-20 21:48:04,155 DEBUG   SenderThread:10618 [sender.py:send():379] send: header
2024-07-20 21:48:04,158 DEBUG   SenderThread:10618 [sender.py:send():379] send: run
2024-07-20 21:48:04,766 INFO    SenderThread:10618 [dir_watcher.py:__init__():211] watching files in: /home/tzikos/Desktop/KULeuvenThesis/wandb/run-20240720_214804-w9mpsxvm/files
2024-07-20 21:48:04,766 INFO    SenderThread:10618 [sender.py:_start_run_threads():1188] run started: w9mpsxvm with start time 1721504884.149537
2024-07-20 21:48:04,778 DEBUG   HandlerThread:10618 [handler.py:handle_request():158] handle_request: check_version
2024-07-20 21:48:04,779 DEBUG   SenderThread:10618 [sender.py:send_request():406] send_request: check_version
2024-07-20 21:48:04,868 DEBUG   HandlerThread:10618 [handler.py:handle_request():158] handle_request: run_start
2024-07-20 21:48:04,870 DEBUG   HandlerThread:10618 [system_info.py:__init__():26] System info init
2024-07-20 21:48:04,870 DEBUG   HandlerThread:10618 [system_info.py:__init__():41] System info init done
2024-07-20 21:48:04,870 INFO    HandlerThread:10618 [system_monitor.py:start():194] Starting system monitor
2024-07-20 21:48:04,871 INFO    SystemMonitor:10618 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-07-20 21:48:04,871 INFO    HandlerThread:10618 [system_monitor.py:probe():214] Collecting system info
2024-07-20 21:48:04,871 INFO    SystemMonitor:10618 [interfaces.py:start():188] Started cpu monitoring
2024-07-20 21:48:04,872 INFO    SystemMonitor:10618 [interfaces.py:start():188] Started disk monitoring
2024-07-20 21:48:04,873 INFO    SystemMonitor:10618 [interfaces.py:start():188] Started gpu monitoring
2024-07-20 21:48:04,875 INFO    SystemMonitor:10618 [interfaces.py:start():188] Started memory monitoring
2024-07-20 21:48:04,876 INFO    SystemMonitor:10618 [interfaces.py:start():188] Started network monitoring
2024-07-20 21:48:04,883 DEBUG   HandlerThread:10618 [system_info.py:probe():152] Probing system
2024-07-20 21:48:04,883 DEBUG   HandlerThread:10618 [system_info.py:_probe_git():137] Probing git
2024-07-20 21:48:04,891 DEBUG   HandlerThread:10618 [system_info.py:_probe_git():145] Probing git done
2024-07-20 21:48:04,892 DEBUG   HandlerThread:10618 [system_info.py:probe():200] Probing system done
2024-07-20 21:48:04,892 DEBUG   HandlerThread:10618 [system_monitor.py:probe():223] {'os': 'Linux-6.5.0-44-generic-x86_64-with-glibc2.35', 'python': '3.12.2', 'heartbeatAt': '2024-07-20T19:48:04.883274', 'startedAt': '2024-07-20T19:48:04.144699', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': '/home/tzikos/Desktop/KULeuvenThesis/main.py', 'codePathLocal': 'main.py', 'codePath': 'main.py', 'git': {'remote': 'git@github.com:DimChatz/KULeuvenThesis.git', 'commit': 'edbc23857a85adb2c2b5e5d16e86987f9ea698a0'}, 'email': 'dimichatzakis@gmail.com', 'root': '/home/tzikos/Desktop/KULeuvenThesis', 'host': 'xatzospito', 'username': 'tzikos', 'executable': '/home/tzikos/anaconda3/envs/KUThesis/bin/python', 'cpu_count': 8, 'cpu_count_logical': 16, 'cpu_freq': {'current': 2878.8495625, 'min': 400.0, 'max': 5804.75}, 'cpu_freq_per_core': [{'current': 1875.789, 'min': 400.0, 'max': 5263.0}, {'current': 2342.587, 'min': 400.0, 'max': 5743.0}, {'current': 400.0, 'min': 400.0, 'max': 5423.0}, {'current': 3921.434, 'min': 400.0, 'max': 6228.0}, {'current': 2366.692, 'min': 400.0, 'max': 5903.0}, {'current': 4680.618, 'min': 400.0, 'max': 6228.0}, {'current': 4683.353, 'min': 400.0, 'max': 5583.0}, {'current': 4682.68, 'min': 400.0, 'max': 6067.0}, {'current': 1874.939, 'min': 400.0, 'max': 5263.0}, {'current': 2994.405, 'min': 400.0, 'max': 5743.0}, {'current': 3295.627, 'min': 400.0, 'max': 5423.0}, {'current': 2847.953, 'min': 400.0, 'max': 6228.0}, {'current': 400.0, 'min': 400.0, 'max': 5903.0}, {'current': 4574.256, 'min': 400.0, 'max': 6228.0}, {'current': 4682.388, 'min': 400.0, 'max': 5583.0}, {'current': 3702.44, 'min': 400.0, 'max': 6067.0}], 'disk': {'/': {'total': 431.4849548339844, 'used': 306.95275497436523}}, 'gpu': 'NVIDIA GeForce RTX 4060 Laptop GPU', 'gpu_count': 1, 'gpu_devices': [{'name': 'NVIDIA GeForce RTX 4060 Laptop GPU', 'memory_total': 8585740288}], 'memory': {'total': 14.83919906616211}}
2024-07-20 21:48:04,892 INFO    HandlerThread:10618 [system_monitor.py:probe():224] Finished collecting system info
